incident_id,title,severity,affected_population,status,latitude,longitude,division_id,created_at,closed_at
1,Kaduwela Flash Flood,CRITICAL,1200,ACTIVE,7.30,80.83,1,2026-04-01T08:00:00+00:00,
2,Laggala Landslide,HIGH,450,UNDER_RESPONSE,7.60,80.75,4,2026-04-02T09:00:00+00:00,
3,Lunugala Storm,MEDIUM,300,RESOLVED,7.00,81.05,6,2026-04-03T10:00:00+00:00,2026-04-05T18:00:00+00:00
4,Kothmale East Flood,HIGH,800,ACTIVE,7.10,81.05,7,2026-04-04T11:00:00+00:00,
5,Passara Flash Flood,CRITICAL,1500,UNDER_RESPONSE,7.05,81.00,6,2026-04-05T12:00:00+00:00,
6,Meegahakiula Drought,MEDIUM,600,ACTIVE,6.9833,81.15,6,2026-04-06T13:00:00+00:00,
7,Soranathota Landslide,LOW,120,RESOLVED,7.15,81.00,7,2026-04-07T14:00:00+00:00,2026-04-09T12:00:00+00:00
8,Ududumbara River Rise,HIGH,700,ACTIVE,7.30,80.90,1,2026-04-08T15:00:00+00:00,
9,Laggala Dam Alert,MEDIUM,500,UNDER_RESPONSE,7.58,80.76,4,2026-04-09T16:00:00+00:00,
10,Lunugala Road Washout,LOW,90,CLOSED,7.02,81.06,6,2026-04-10T17:00:00+00:00,2026-04-11T09:00:00+00:00
11,Kothmale East Flash Flood,HIGH,950,ACTIVE,7.12,81.04,7,2026-04-11T08:30:00+00:00,
12,Passara Soil Slip,MEDIUM,260,RESOLVED,7.04,81.01,6,2026-04-12T09:30:00+00:00,2026-04-13T14:00:00+00:00
13,Meegahakiula Water Shortage,LOW,180,ACTIVE,6.98,81.16,6,2026-04-13T10:30:00+00:00,
14,Soranathota Bridge Damage,MEDIUM,210,UNDER_RESPONSE,7.16,81.02,7,2026-04-14T11:30:00+00:00,
15,Ududumbara Evacuation,HIGH,1100,ACTIVE,7.32,80.84,1,2026-04-15T12:30:00+00:00,
16,Laggala Crop Damage,LOW,75,CLOSED,7.59,80.74,4,2026-04-16T13:30:00+00:00,2026-04-18T08:00:00+00:00
17,Lunugala School Flood,MEDIUM,320,ACTIVE,7.03,81.07,6,2026-04-17T14:30:00+00:00,
18,Kothmale East Dam Leak,CRITICAL,2000,UNDER_RESPONSE,7.11,81.03,7,2026-04-18T15:30:00+00:00,
19,Passara Lightning Event,LOW,60,RESOLVED,7.06,81.00,6,2026-04-19T16:30:00+00:00,2026-04-19T20:00:00+00:00
20,Meegahakiula Wildfire,HIGH,500,ACTIVE,6.99,81.17,6,2026-04-20T17:30:00+00:00,
