device_id,base_level,set_date
DEV-001,1.20,2026-03-01T00:00:00+00:00
DEV-002,1.15,2026-03-02T00:00:00+00:00
DEV-003,1.10,2026-03-03T00:00:00+00:00
DEV-004,1.25,2026-03-04T00:00:00+00:00
DEV-005,1.18,2026-03-05T00:00:00+00:00
DEV-006,1.12,2026-03-06T00:00:00+00:00
DEV-007,1.30,2026-03-07T00:00:00+00:00
DEV-008,1.22,2026-03-08T00:00:00+00:00
DEV-009,1.16,2026-03-09T00:00:00+00:00
DEV-010,1.14,2026-03-10T00:00:00+00:00
DEV-011,1.28,2026-03-11T00:00:00+00:00
DEV-012,1.19,2026-03-12T00:00:00+00:00
DEV-013,1.09,2026-03-13T00:00:00+00:00
DEV-014,1.21,2026-03-14T00:00:00+00:00
DEV-015,1.26,2026-03-15T00:00:00+00:00
DEV-016,1.17,2026-03-16T00:00:00+00:00
DEV-017,1.23,2026-03-17T00:00:00+00:00
DEV-018,1.11,2026-03-18T00:00:00+00:00
DEV-019,1.27,2026-03-19T00:00:00+00:00
DEV-020,1.13,2026-03-20T00:00:00+00:00
