risk_id,division_id,date,disaster_type,risk_level,score
1,1,2026-04-01,Flood,HIGH,0.78
2,4,2026-04-02,Landslide,MEDIUM,0.55
3,6,2026-04-03,Storm,LOW,0.32
4,7,2026-04-04,Drought,MEDIUM,0.51
5,1,2026-04-05,Flood,CRITICAL,0.92
6,4,2026-04-06,Landslide,HIGH,0.73
7,6,2026-04-07,Storm,MEDIUM,0.60
8,7,2026-04-08,Drought,LOW,0.28
9,1,2026-04-09,Flood,MEDIUM,0.57
10,4,2026-04-10,Landslide,LOW,0.30
11,6,2026-04-11,Storm,HIGH,0.75
12,7,2026-04-12,Drought,MEDIUM,0.52
13,1,2026-04-13,Flood,LOW,0.22
14,4,2026-04-14,Landslide,CRITICAL,0.95
15,6,2026-04-15,Storm,MEDIUM,0.58
16,7,2026-04-16,Drought,HIGH,0.80
17,1,2026-04-17,Flood,MEDIUM,0.61
18,4,2026-04-18,Landslide,LOW,0.33
19,6,2026-04-19,Storm,CRITICAL,0.90
20,7,2026-04-20,Drought,MEDIUM,0.56
