dispatch_id,incident_id,asset_id,deployment_status,dispatched_at,released_at
1,1,1,EN_ROUTE,2026-04-01T09:00:00+00:00,
2,1,2,ON_SCENE,2026-04-01T10:00:00+00:00,
3,2,3,EN_ROUTE,2026-04-02T09:30:00+00:00,
4,2,4,RELEASED,2026-04-02T10:00:00+00:00,2026-04-03T12:00:00+00:00
5,3,5,RELEASED,2026-04-03T11:00:00+00:00,2026-04-04T09:00:00+00:00
6,3,6,ON_SCENE,2026-04-03T12:30:00+00:00,
7,4,7,EN_ROUTE,2026-04-04T13:00:00+00:00,
8,4,8,ON_SCENE,2026-04-04T14:00:00+00:00,
9,5,9,EN_ROUTE,2026-04-05T15:00:00+00:00,
10,5,10,RELEASED,2026-04-05T16:00:00+00:00,2026-04-06T08:00:00+00:00
11,6,11,ON_SCENE,2026-04-06T09:00:00+00:00,
12,6,12,EN_ROUTE,2026-04-06T10:00:00+00:00,
13,7,13,RELEASED,2026-04-07T11:00:00+00:00,2026-04-08T09:00:00+00:00
14,8,14,EN_ROUTE,2026-04-08T12:00:00+00:00,
15,9,15,ON_SCENE,2026-04-09T13:00:00+00:00,
16,10,16,RELEASED,2026-04-10T14:00:00+00:00,2026-04-11T10:00:00+00:00
17,11,17,EN_ROUTE,2026-04-11T15:00:00+00:00,
18,12,18,ON_SCENE,2026-04-12T16:00:00+00:00,
19,13,19,EN_ROUTE,2026-04-13T17:00:00+00:00,
20,14,20,ON_SCENE,2026-04-14T18:00:00+00:00,
