severity_id,device_id,timestamp,current_level,base_level,difference,severity
1,DEV-001,2026-04-01T01:00:00+00:00,1.45,1.20,0.25,MEDIUM
2,DEV-002,2026-04-01T02:00:00+00:00,1.10,1.15,-0.05,LOW
3,DEV-003,2026-04-01T03:00:00+00:00,1.70,1.10,0.60,HIGH
4,DEV-004,2026-04-01T04:00:00+00:00,1.95,1.25,0.70,CRITICAL
5,DEV-005,2026-04-01T05:00:00+00:00,1.28,1.18,0.10,LOW
6,DEV-006,2026-04-01T06:00:00+00:00,1.55,1.12,0.43,MEDIUM
7,DEV-007,2026-04-01T07:00:00+00:00,1.90,1.30,0.60,HIGH
8,DEV-008,2026-04-01T08:00:00+00:00,1.24,1.22,0.02,LOW
9,DEV-009,2026-04-01T09:00:00+00:00,1.60,1.16,0.44,MEDIUM
10,DEV-010,2026-04-01T10:00:00+00:00,1.85,1.14,0.71,CRITICAL
11,DEV-011,2026-04-01T11:00:00+00:00,1.33,1.28,0.05,LOW
12,DEV-012,2026-04-01T12:00:00+00:00,1.55,1.19,0.36,MEDIUM
13,DEV-013,2026-04-01T13:00:00+00:00,1.05,1.09,-0.04,LOW
14,DEV-014,2026-04-01T14:00:00+00:00,1.75,1.21,0.54,HIGH
15,DEV-015,2026-04-01T15:00:00+00:00,1.40,1.26,0.14,MEDIUM
16,DEV-016,2026-04-01T16:00:00+00:00,1.88,1.17,0.71,CRITICAL
17,DEV-017,2026-04-01T17:00:00+00:00,1.29,1.23,0.06,LOW
18,DEV-018,2026-04-01T18:00:00+00:00,1.50,1.11,0.39,MEDIUM
19,DEV-019,2026-04-01T19:00:00+00:00,1.82,1.27,0.55,HIGH
20,DEV-020,2026-04-01T20:00:00+00:00,1.25,1.13,0.12,LOW
