device_id,division_id,installation_date,status
DEV-001,1,2025-01-01,ACTIVE
DEV-002,4,2025-01-02,ACTIVE
DEV-003,6,2025-01-03,ACTIVE
DEV-004,7,2025-01-04,MAINTENANCE
DEV-005,1,2025-01-05,ACTIVE
DEV-006,4,2025-01-06,INACTIVE
DEV-007,6,2025-01-07,ACTIVE
DEV-008,7,2025-01-08,ACTIVE
DEV-009,1,2025-01-09,ACTIVE
DEV-010,4,2025-01-10,MAINTENANCE
DEV-011,6,2025-01-11,ACTIVE
DEV-012,7,2025-01-12,ACTIVE
DEV-013,1,2025-01-13,INACTIVE
DEV-014,4,2025-01-14,ACTIVE
DEV-015,6,2025-01-15,ACTIVE
DEV-016,7,2025-01-16,MAINTENANCE
DEV-017,1,2025-01-17,ACTIVE
DEV-018,4,2025-01-18,ACTIVE
DEV-019,6,2025-01-19,ACTIVE
DEV-020,7,2025-01-20,ACTIVE
