alert_id,incident_id,title,message,severity_level,status,issued_at
1,1,Evacuation Notice,Evacuate low lying areas,EVACUATION_ORDER,ACTIVE,2026-04-01T10:30:00+00:00
2,2,Landslide Watch,Stay away from steep slopes,WARNING,ACTIVE,2026-04-02T11:00:00+00:00
3,3,Storm Update,Heavy rain expected,WARNING,ACTIVE,2026-04-03T12:00:00+00:00
4,4,Flood Warning,Prepare to move to shelters,WARNING,ACTIVE,2026-04-04T13:00:00+00:00
5,5,Emergency Evacuation,Move to higher ground,EVACUATION_ORDER,ACTIVE,2026-04-05T14:00:00+00:00
6,6,Water Conservation,Limit water usage,ADVISORY,ACTIVE,2026-04-06T15:00:00+00:00
7,7,All Clear,Incident resolved,INFO,EXPIRED,2026-04-07T16:00:00+00:00
8,8,River Rise Alert,Monitor river levels,WARNING,ACTIVE,2026-04-08T17:00:00+00:00
9,9,Dam Safety Notice,Keep away from dam area,ADVISORY,ACTIVE,2026-04-09T18:00:00+00:00
10,10,Road Closure,Road closed for repairs,INFO,EXPIRED,2026-04-10T19:00:00+00:00
11,11,Flash Flood Warning,Flash flooding possible,WARNING,ACTIVE,2026-04-11T08:40:00+00:00
12,12,Soil Slip Alert,Avoid unstable slopes,WARNING,ACTIVE,2026-04-12T09:40:00+00:00
13,13,Water Shortage,Use water responsibly,ADVISORY,ACTIVE,2026-04-13T10:40:00+00:00
14,14,Bridge Hazard,Use alternate routes,WARNING,ACTIVE,2026-04-14T11:40:00+00:00
15,15,Evacuation Advisory,Prepare for evacuation,ADVISORY,ACTIVE,2026-04-15T12:40:00+00:00
16,16,All Clear,Incident closed,INFO,EXPIRED,2026-04-16T13:40:00+00:00
17,17,School Flood Notice,Classes suspended,WARNING,ACTIVE,2026-04-17T14:40:00+00:00
18,18,Major Dam Leak,Immediate evacuation,EVACUATION_ORDER,ACTIVE,2026-04-18T15:40:00+00:00
19,19,Lightning Warning,Stay indoors,WARNING,EXPIRED,2026-04-19T16:40:00+00:00
20,20,Wildfire Alert,Avoid smoke areas,WARNING,ACTIVE,2026-04-20T17:40:00+00:00
