spi_id,division_id,date,spi_value,timescale
1,1,2026-03-01,0.25,1
2,4,2026-03-02,-0.40,3
3,6,2026-03-03,-1.10,6
4,7,2026-03-04,-1.80,12
5,1,2026-03-05,0.60,1
6,4,2026-03-06,-0.20,3
7,6,2026-03-07,0.10,6
8,7,2026-03-08,-0.90,12
9,1,2026-03-09,1.20,1
10,4,2026-03-10,0.30,3
11,6,2026-03-11,-0.70,6
12,7,2026-03-12,-1.50,12
13,1,2026-03-13,0.05,1
14,4,2026-03-14,0.40,3
15,6,2026-03-15,-0.30,6
16,7,2026-03-16,-1.20,12
17,1,2026-03-17,0.80,1
18,4,2026-03-18,-0.10,3
19,6,2026-03-19,-0.60,6
20,7,2026-03-20,-1.00,12
